epoch,step,train_loss_step,train_perplexity_step
0,49,9.449294090270996,12699.1982421875
0,99,9.077013969421387,8751.7939453125
0,149,8.677560806274414,5869.71240234375
0,199,8.383771896362305,4375.4814453125
0,249,8.098244667053223,3288.6904296875
0,299,7.932467937469482,2786.294677734375
0,349,7.651806831359863,2104.444580078125
0,399,7.5747785568237305,1948.4287109375
0,449,7.513704776763916,1832.9918212890625
0,499,7.3490705490112305,1554.750732421875
0,549,7.288547992706299,1463.4442138671875
0,599,7.391524791717529,1622.177734375
0,649,7.283199787139893,1455.6383056640625
0,699,7.189423561096191,1325.3389892578125
0,749,7.259183883666992,1421.0963134765625
0,799,7.244703769683838,1400.6669921875
0,849,7.063907146453857,1169.003662109375
0,899,6.95830774307251,1051.85205078125
0,949,7.082280158996582,1190.6802978515625
0,999,7.071813106536865,1178.282470703125
0,1049,6.945669651031494,1038.642333984375
0,1099,6.971575736999512,1065.9010009765625
0,1149,7.039387226104736,1140.6884765625
0,1199,6.882619857788086,975.1777954101562
0,1249,6.74015474319458,845.6915893554688
0,1299,6.8977742195129395,990.068603515625
0,1349,6.771028995513916,872.2089233398438
