epoch,epoch_time,step,train_epoch_perplexity,train_loss_epoch,train_loss_step,train_perplexity_epoch,train_perplexity_step,val_epoch_perplexity,val_loss,val_perplexity
0,,49,,,7.658993244171143,,2119.622314453125,,,
0,,99,,,7.554065227508545,,1908.4854736328125,,,
0,,149,,,7.475136756896973,,1763.642822265625,,,
0,,199,,,7.582228660583496,,1962.9989013671875,,,
0,,249,,,7.458165168762207,,1733.963623046875,,,
0,,286,,,,,,3225.99169921875,8.078995704650879,3246.65771484375
0,105.40784454345703,286,1983.8778076171875,7.592808723449707,,2301.711669921875,,,,
1,,299,,,7.362501621246338,,1575.773681640625,,,
1,,349,,,7.343611240386963,,1546.2861328125,,,
1,,399,,,7.512801170349121,,1831.3363037109375,,,
1,,449,,,7.448391437530518,,1717.098876953125,,,
1,,499,,,7.531157970428467,,1865.26416015625,,,
1,,549,,,7.45188570022583,,1723.109375,,,
1,,573,,,,,,3295.3994140625,8.100282669067383,3314.30419921875
1,38.49390411376953,573,1715.4432373046875,7.447426795959473,,1717.744384765625,,,,
2,,599,,,7.503061294555664,,1813.5858154296875,,,
2,,649,,,7.403789520263672,,1642.19580078125,,,
2,,699,,,7.412877082824707,,1657.1873779296875,,,
2,,749,,,7.428114891052246,,1682.6326904296875,,,
2,,799,,,7.421348571777344,,1671.2857666015625,,,
2,,849,,,7.382187843322754,,1607.10205078125,,,
2,,860,,,,,,3535.38671875,8.170578002929688,3555.46728515625
2,38.502723693847656,860,1684.943359375,7.429487228393555,,1687.0291748046875,,,,
3,,899,,,7.4075703620910645,,1648.4163818359375,,,
3,,949,,,7.424518585205078,,1676.59228515625,,,
3,,999,,,7.517485618591309,,1839.9351806640625,,,
3,,1049,,,7.415452003479004,,1661.4599609375,,,
3,,1099,,,7.380931377410889,,1605.083984375,,,
3,,1147,,,,,,3952.801513671875,8.282179832458496,3976.199951171875
3,38.55860137939453,1147,1669.0877685546875,7.420032501220703,,1671.5225830078125,,,,
